0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,
3,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,9,10,2,2,2,2,2,2,2,2,2,2,2,2,11,2,2,2,12,
3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,14,13,14,2,15,16,17,5,6,2,2,2,2,2,2,18,2,2,11,19,
19,20,19,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,23,22,23,2,24,25,26,9,10,2,2,2,2,2,2,18,2,2,18,27,
27,27,27,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,20,19,20,19,21,30,31,32,22,23,2,2,2,2,2,2,33,2,2,33,27,
27,27,27,34,2,2,2,2,2,2,2,2,35,36,2,2,2,2,37,27,27,27,27,28,19,19,19,20,19,21,2,2,2,2,38,39,40,38,41,42,
27,27,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,43,27,27,27,27,27,27,27,27,27,27,28,2,2,44,38,45,46,40,47,45,2,
43,34,2,2,2,2,2,48,49,2,2,2,2,2,2,2,2,2,2,43,42,27,27,27,27,42,42,42,42,34,2,2,35,50,46,2,40,2,47,2,
2,2,2,2,2,29,20,19,20,19,21,2,2,2,2,2,2,2,2,2,2,37,27,27,28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,43,27,27,27,42,34,2,2,2,2,2,2,2,2,2,2,43,42,42,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,43,42,34,2,2,2,2,2,35,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,2,52,53,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,55,56,2,2,2,2,
2,2,2,2,2,2,2,2,2,2,2,57,58,59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60,61,62,54,56,2,2,
2,2,2,2,2,2,2,2,2,2,29,19,20,21,2,2,2,2,2,2,2,2,2,2,52,53,2,2,2,2,2,2,2,63,64,65,63,65,2,2,
2,2,2,2,66,2,35,36,2,2,43,42,42,34,2,2,2,2,2,2,2,2,2,2,67,68,2,52,53,2,2,2,29,20,19,20,19,20,19,2,
2,2,2,2,69,57,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,59,70,58,59,2,2,2,37,27,27,27,27,27,27,2,
2,2,2,2,29,19,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,71,72,73,71,72,70,2,51,37,27,27,27,27,27,27,2,
2,74,2,2,43,42,34,2,2,2,2,75,76,2,2,2,2,2,2,2,2,2,2,2,29,20,19,20,19,21,77,78,37,27,27,27,27,27,27,2,
2,79,74,2,2,2,2,2,74,29,20,19,21,2,2,2,2,2,75,76,2,2,2,2,37,27,27,27,27,28,2,2,37,27,27,27,27,27,27,2,
2,80,79,2,2,2,81,2,80,37,27,27,28,2,70,2,81,2,29,21,2,2,82,83,37,27,27,27,27,28,2,2,37,27,27,27,27,27,27,84,
84,84,85,84,84,84,84,85,84,37,27,27,28,84,86,84,84,84,37,28,85,84,87,88,37,27,27,27,27,28,84,84,37,27,27,27,27,27,27,89,
89,89,89,89,89,89,89,89,89,37,27,27,28,89,89,89,89,89,37,28,89,89,89,89,37,27,27,27,27,28,89,89,37,27,27,27,27,27,27,89,
89,89,89,89,89,89,89,89,89,37,27,27,28,89,89,89,89,89,37,28,89,89,89,89,37,27,27,27,27,28,89,89,37,27,27,27,27,27,27,
